epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,42.4334,0.67024,0.62653,0.87307,0.99085,1,0.995,0.83133,0.6695,0.55144,0.83472,0.00132043,0.00132043,0.00132043
44,43.3818,0.65737,0.60434,0.87403,0.99245,1,0.995,0.82188,0.70309,0.55591,0.84542,0.00131218,0.00131218,0.00131218
45,44.2147,0.63691,0.5871,0.88654,0.9925,1,0.995,0.8058,0.7368,0.57354,0.86417,0.00130393,0.00130393,0.00130393
46,45.0826,0.63123,0.60549,0.89444,0.98758,0.99913,0.995,0.81565,0.73404,0.5845,0.86547,0.00129568,0.00129568,0.00129568
47,46.0075,0.6326,0.62153,0.86713,0.99092,0.99879,0.995,0.82481,0.71918,0.59588,0.85593,0.00128742,0.00128742,0.00128742
48,46.8806,0.60052,0.61142,0.88387,0.99716,0.99933,0.995,0.82046,0.69732,0.57996,0.84747,0.00127917,0.00127917,0.00127917
49,47.748,0.59828,0.59451,0.85792,0.98659,0.99778,0.995,0.81851,0.69407,0.59214,0.84569,0.00127092,0.00127092,0.00127092
50,48.6062,0.63983,0.58984,0.89207,0.98057,0.99754,0.995,0.85013,0.70632,0.60544,0.8447,0.00126267,0.00126267,0.00126267
51,49.4587,0.60219,0.58087,0.86287,0.99538,1,0.995,0.84043,0.69291,0.53303,0.84016,0.00125442,0.00125442,0.00125442
52,50.3004,0.57781,0.61439,0.87875,0.99078,1,0.995,0.82582,0.66079,0.51188,0.82798,0.00124617,0.00124617,0.00124617
53,51.2502,0.60901,0.57237,0.88182,0.98028,1,0.995,0.82077,0.6612,0.50427,0.82625,0.00123791,0.00123791,0.00123791
54,52.0805,0.61738,0.6013,0.88313,0.99145,1,0.995,0.80753,0.69976,0.53657,0.84334,0.00122966,0.00122966,0.00122966
55,52.8892,0.59624,0.59883,0.87952,0.99474,1,0.995,0.80476,0.69673,0.53061,0.84099,0.00122141,0.00122141,0.00122141
56,53.7308,0.58306,0.55213,0.87156,0.99097,1,0.995,0.83044,0.6796,0.53373,0.83378,0.00121316,0.00121316,0.00121316
57,54.5929,0.62517,0.58679,0.88049,0.99124,1,0.995,0.82804,0.66271,0.5326,0.8251,0.00120491,0.00120491,0.00120491
58,55.4646,0.57986,0.57016,0.86026,0.9961,1,0.995,0.83229,0.66013,0.52405,0.82521,0.00119666,0.00119666,0.00119666
59,56.3214,0.60489,0.5531,0.87636,0.99671,1,0.995,0.83265,0.67437,0.51128,0.8335,0.0011884,0.0011884,0.0011884
60,57.1821,0.59762,0.55683,0.88953,0.99338,1,0.995,0.83456,0.68111,0.49167,0.8348,0.00118015,0.00118015,0.00118015
61,58.0281,0.59927,0.54653,0.85723,0.99401,1,0.995,0.83179,0.67959,0.49621,0.84126,0.0011719,0.0011719,0.0011719
62,59.1894,0.62449,0.5781,0.8924,0.99573,1,0.995,0.82055,0.66176,0.48987,0.83787,0.00116365,0.00116365,0.00116365
63,60.2513,0.60071,0.55029,0.87744,0.99562,1,0.995,0.82294,0.65143,0.49397,0.83994,0.0011554,0.0011554,0.0011554
64,61.5546,0.6115,0.58451,0.87498,0.99392,1,0.995,0.83905,0.65714,0.47065,0.84102,0.00114715,0.00114715,0.00114715
65,62.6702,0.60194,0.55053,0.86096,0.9774,1,0.995,0.83276,0.65224,0.47849,0.8327,0.00113889,0.00113889,0.00113889
66,63.7391,0.62121,0.51052,0.87342,0.97748,1,0.995,0.84048,0.6628,0.48983,0.83956,0.00113064,0.00113064,0.00113064
67,64.8193,0.55154,0.52416,0.88014,0.97592,1,0.995,0.84415,0.66936,0.49039,0.84213,0.00112239,0.00112239,0.00112239
68,65.876,0.64463,0.53894,0.89114,0.98672,1,0.995,0.83038,0.67025,0.48641,0.84639,0.00111414,0.00111414,0.00111414
69,66.9405,0.5909,0.5261,0.8701,0.99094,1,0.995,0.8306,0.64965,0.50249,0.84411,0.00110589,0.00110589,0.00110589
70,67.9162,0.58183,0.50004,0.85416,0.99021,1,0.995,0.82631,0.6903,0.50922,0.85417,0.00109764,0.00109764,0.00109764
71,68.9094,0.63517,0.51718,0.87506,0.99072,1,0.995,0.80315,0.71266,0.49646,0.86092,0.00108938,0.00108938,0.00108938
72,69.8908,0.60756,0.53271,0.90498,0.99254,1,0.995,0.81766,0.69827,0.47644,0.85001,0.00108113,0.00108113,0.00108113
73,70.8445,0.61225,0.51156,0.86928,0.99312,1,0.995,0.83368,0.68107,0.44457,0.84103,0.00107288,0.00107288,0.00107288
74,71.7756,0.58102,0.50311,0.87057,0.99268,1,0.995,0.8241,0.69552,0.44945,0.84263,0.00106463,0.00106463,0.00106463
